element,species,alk,gfw_formula,element_gfw,source,priority
Acetate,HAcetate,0.0,Acetate,59.,#llnl.dat,1
Acetate,Acetate-,1.0,59.045,59.045,#minteq.v4.dat,2
Alkalinity,CO3-2,2.0,HCO3,61.0173,#minteq.v4.dat,2
Alkalinity,HCO3-,1.0,Ca0.5(CO3)0.5,50.05,#llnl.dat,1
As,H3AsO4,-1.0,74.9216,74.9216,#Tipping_Hurley.dat,4
As,AsO4-3,0.0,As,74.9216,#sit.dat,5
As,H2AsO4-,0.0,As,74.9216,#llnl.dat,1
As(+3),H3AsO3,0.0,74.9216,74.9216,#Tipping_Hurley.dat,4
As(+3),H2AsO3-,0.0,As,,#llnl.dat,1
As(+3),H3(AsO3),0.0,As,74.9216,#sit.dat,5
As(+5),AsO4-3,2.0,As,74.9216,#sit.dat,5
As(+5),H2AsO4-,0.0,As,,#llnl.dat,1
As(+5),H3AsO4,-1.0,74.9216,,#Tipping_Hurley.dat,4
B,H3BO3,0.0,10.81,10.81,#Tipping_Hurley.dat,4
B,B(OH)3,0.0,B,10.811,#llnl.dat,1
B,B(OH)4-,1.0,B,10.811,#sit.dat,5
C,CO3-2,2.0,61.0173,12.0111,#Tipping_Hurley.dat,4
C,HCO3-,1.0,HCO3,12.0110,#llnl.dat,1
C(+4),HCO3-,1.0,HCO3,,#llnl.dat,1
C(+4),CO3-2,2.0,61.0173,,#Tipping_Hurley.dat,4
Co,Co+2,0.0,Co,58.9332,#llnl.dat,1
Co,Co+3,-1.0,Co,58.9332,#minteq.v4.dat,2
Cr(+3),Cr+3,0.0,Cr,,#llnl.dat,1
Cr(+3),Cr(OH)2+,0.0,Cr,,#minteq.v4.dat,2
Cu(+1),Cu+,0.0,Cu,63.546,#sit.dat,5
Cu(+1),Cu+1,0.0,Cu,,#llnl.dat,1
Fe,Fe+2,0.0,Fe,55.847,#llnl.dat,1
Fe,Fe+3,-2.0,Fe,55.847,#minteq.v4.dat,2
Hg,Hg+2,0.0,Hg,200.59,#llnl.dat,1
Hg,Hg(OH)2,0.0,Hg,200.59,#minteq.v4.dat,2
Hg(+2),Hg+2,0.0,Hg,,#llnl.dat,1
Hg(+2),Hg(OH)2,0.0,Hg,,#minteq.v4.dat,2
Mn,Mn+3,0.0,Mn,54.938,#minteq.v4.dat,2
Mn,Mn+2,0.0,Mn,54.938,#llnl.dat,1
N,NO3-,0.0,14.0067,14.0067,#Tipping_Hurley.dat,4
N,NH3,1.0,N,14.0067,#llnl.dat,1
N(-3),NH4+,0.0,14.0067,,#Tipping_Hurley.dat,4
N(-3),NH3,1.0,N,,#llnl.dat,1
Np,NpO2+2,0.0,Np,237.048,#sit.dat,5
Np,Np+4,0.0,Np,237.048,#llnl.dat,1
P,H2(PO4)-,1.0,P,30.9738,#sit.dat,5
P,HPO4-2,2.0,P,30.9738,#llnl.dat,1
P,PO4-3,2.0,30.9738,30.9738,#Tipping_Hurley.dat,4
Pu,Pu+4,0.0,Pu,244.00,#llnl.dat,1
Pu,PuO2+2,0.0,Pu,244,#sit.dat,5
S(-2),HS-,1.0,S,,#llnl.dat,1
S(-2),H2S,0.0,32.064,,#Tipping_Hurley.dat,4
Sb,Sb(OH)6-,0.0,Sb,121.75,#minteq.v4.dat,2
Sb,Sb(OH)3,0.0,Sb,121.75,#llnl.dat,1
Sb(+5),Sb(OH)6-,0.0,Sb,,#minteq.v4.dat,2
Sb(+5),Sb(OH)5,0.0,Sb,121.76,#sit.dat,5
Se,SeO4-2,0.0,78.96,78.96,#Tipping_Hurley.dat,4
Se,SeO3-2,0.0,Se,78.96,#llnl.dat,1
Se(+4),SeO3-2,0.0,Se,,#llnl.dat,1
Se(+4),HSeO3-,0.0,Se,,#minteq.v4.dat,2
Si,SiO2,0.0,SiO2,28.0855,#llnl.dat,1
Si,H4SiO4,0.0,60.0843,28.0843,#Tipping_Hurley.dat,4
Si,H4(SiO4),0.0,Si,28.0855,#sit.dat,5
Sn,Sn+2,0.0,Sn,118.71,#llnl.dat,1
Sn,Sn(OH)6-2,0.0,Sn,118.71,#minteq.v4.dat,2
Sn(+2),Sn+2,0.0,Sn,,#llnl.dat,1
Sn(+2),Sn(OH)2,0.0,Sn,,#minteq.v4.dat,2
Sn(+4),Sn(OH)6-2,0.0,Sn,,#minteq.v4.dat,2
Sn(+4),Sn+4,0.0,Sn,,#llnl.dat,1
Tc,TcO(OH)2,0.0,Tc,98,#sit.dat,5
Tc,TcO4-,0.0,Tc,98.00,#llnl.dat,1
Tc(+4),TcO+2,0.0,Tc,,#llnl.dat,1
Tc(+4),TcO(OH)2,0.0,Tc,98,#sit.dat,5
Tl,Tl(OH)3,0.0,Tl,204.383,#minteq.v4.dat,2
Tl,Tl+,0.0,Tl,204.3833,#llnl.dat,1
Tl(+3),Tl+3,0.0,Tl,,#llnl.dat,1
Tl(+3),Tl(OH)3,0.0,Tl,,#minteq.v4.dat,2
V,VO+2,0.0,V,50.9415,#llnl.dat,1
V,VO2+,-2.0,V,50.94,#minteq.v4.dat,2
Zr,Zr+4,-4.0,Zr,91.22,#sit.dat,5
Zr,Zr(OH)2+2,0.0,Zr,91.224,#llnl.dat,1
